                        domain                         |       ip        
 *.sonyliv.com                                         | 13.234.157.104
 *.sonyliv.com                                         | 13.234.165.5
 *.sonyliv.com                                         | 13.234.142.244
 *.sonyliv.com                                         | 13.232.154.65
 *.sonyliv.com                                         | 13.234.91.165
 *.sonyliv.com                                         | 13.234.174.197
 *.sonyliv.com                                         | 13.235.179.179
 *.sonyliv.com                                         | 13.234.212.173
 *.sonyliv.com                                         | 13.235.12.72
 *.sonyliv.com                                         | 13.234.246.222
 *.sonyliv.com                                         | 13.234.193.190
 *.sonyliv.com                                         | 13.234.233.76
 *.sonyliv.com                                         | 13.234.175.199
 *.sonyliv.com                                         | 13.234.125.181
 *.sonyliv.com                                         | 13.234.24.231
 *.sonyliv.com                                         | 13.234.28.250
 *.sonyliv.com                                         | 13.235.117.185
 *.sonyliv.com                                         | 13.235.26.76
 *.sonyliv.com                                         | 13.235.234.92
 *.sonyliv.com                                         | 13.234.209.57
 *.sonyliv.com                                         | 13.234.248.143
 *.sonyliv.com                                         | 13.233.239.117
 *.sonyliv.com                                         | 13.233.219.149
 *.sonyliv.com                                         | 13.234.193.132
 *.sonyliv.com                                         | 13.233.210.218
 *.sonyliv.com                                         | 13.235.161.226
 *.sonyliv.com                                         | 13.235.139.7
 *.sonyliv.com                                         | 13.234.184.180
 *.sonyliv.com                                         | 13.235.171.140
 *.sonyliv.com                                         | 13.235.145.203
 *.sonyliv.com                                         | 13.234.209.40
 *.sonyliv.com                                         | 13.235.240.162
 *.sonyliv.com                                         | 13.234.209.112
 *.sonyliv.com                                         | 13.234.206.100
 *.sonyliv.com                                         | 13.234.242.50
 *.sonyliv.com                                         | 13.234.183.19
 *.sonyliv.com                                         | 13.235.237.204
 *.sonyliv.com                                         | 54.254.185.174
 *.sonyliv.com                                         | 13.235.197.24
 *.sonyliv.com                                         | 13.235.251.116
 *.systemwatch.sony.com                                | 54.82.203.199
 *.sonyliv.com                                         | 54.254.249.202
 *.sonyliv.com                                         | 13.235.204.8
 *.flashgordon.sonymobile.com                          | 13.53.115.18
 *.sonybiotechnology.com                               | 54.86.96.104
 test.sonyatv.org                                      | 54.85.218.211
 *.sonyliv.com                                         | 54.254.215.99
 *.sonyliv.com                                         | 54.254.246.57
 *.sonyliv.com                                         | 54.254.144.56
 *.sonyliv.com                                         | 54.254.155.125
 *.sonyliv.com                                         | 54.254.214.157
 chef.automate.gis.sony.com                            | 52.20.182.209
 nocinfosys.sony.com                                   | 52.21.246.204
 *.prod.sonyentertainmentnetwork.com                   | 34.213.80.122
 *.lw2.dev.biv.sony.tv                                 | 34.209.169.153
 internet.sony.tv                                      | 34.209.50.3
 *.internet.sony.tv                                    | 34.210.137.38
 *.biv.sony.tv                                         | 34.211.133.230
 *.biv.sony.tv                                         | 34.212.255.111
 *.sonyatlas.com                                       | 54.243.73.170
 *.wws.sony.com                                        | 34.208.191.75
 *.sonymobile.co.jp                                    | 34.211.23.68
 *.pd.biv.sony.tv                                      | 34.210.233.181
 *.sonyrewards.com                                     | 34.212.147.25
 *.sonyrewards.com                                     | 34.213.87.81
 *.evedmp.sonynei.net                                  | 34.212.47.54
 sptaws-alb-qa.spe.sony.com                            | 34.210.253.189
 dev.imagingedge.sony.net                              | 34.213.115.6
 qa.concierge.support.sony.net                         | 34.215.13.204
 portals.sonypictures.com                              | 34.213.234.12
 *.sonymobile.jp                                       | 34.213.249.44
 *.evedmp.sonynei.net                                  | 34.214.89.170
 *.sonymobile.co.jp                                    | 34.215.41.119
 concierge.support.sony.net                            | 34.215.96.135
 *.sagent.sonymobile.com                               | 34.216.230.146
